Filename	GC	GC_stdev	Main_genome_contig_total	Main_genome_contig_sequence_total
Columbia_MO_20240102_r1_no_rrna.fastq.gz	0.4788	0.1083	1021959755	144151.313
Columbia_MO_20240102_r1_rrna.fastq.gz	0.5052	0.055	1578822192	218279.719
Columbia_MO_20240102_r2_no_rrna.fastq.gz	0.4807	0.1088	1021959755	144164.734
Columbia_MO_20240102_r2_rrna.fastq.gz	0.507	0.0556	1578822192	218297.781
Columbia_MO_20240109_r1_no_rrna.fastq.gz	0.4728	0.1065	901260254	129803.344
Columbia_MO_20240109_r1_rrna.fastq.gz	0.5078	0.0547	1550606260	218357.234
Columbia_MO_20240109_r2_no_rrna.fastq.gz	0.4755	0.1075	901260254	129812.109
Columbia_MO_20240109_r2_rrna.fastq.gz	0.5099	0.0552	1550606260	218371.016
Columbia_MO_20240116_r1_no_rrna.fastq.gz	0.3749	0.0712	886169399	128267.539
Columbia_MO_20240116_r1_rrna.fastq.gz	0.4779	0.0631	444477590	61734.652
Columbia_MO_20240116_r2_no_rrna.fastq.gz	0.3776	0.0726	886169399	128290.125
Columbia_MO_20240116_r2_rrna.fastq.gz	0.4792	0.0647	444477590	61747.758
Columbia_MO_20240123_r1_no_rrna.fastq.gz	0.3689	0.0728	936562940	135685.422
Columbia_MO_20240123_r1_rrna.fastq.gz	0.4725	0.0657	382055243	52749.293
Columbia_MO_20240123_r2_no_rrna.fastq.gz	0.3716	0.0734	936562940	135697.188
Columbia_MO_20240123_r2_rrna.fastq.gz	0.4739	0.0671	382055243	52756.223
Columbia_MO_20240130_r1_no_rrna.fastq.gz	0.3953	0.0739	674708471	97311.242
Columbia_MO_20240130_r1_rrna.fastq.gz	0.4851	0.0577	562115736	78778.766
Columbia_MO_20240130_r2_no_rrna.fastq.gz	0.3984	0.0746	674708471	97325.469
Columbia_MO_20240130_r2_rrna.fastq.gz	0.4866	0.059	562115736	78792.023
Columbia_MO_20240206_r1_no_rrna.fastq.gz	0.3786	0.0767	880911359	128474.742
Columbia_MO_20240206_r1_rrna.fastq.gz	0.4678	0.0656	359657206	50314.355
Columbia_MO_20240206_r2_no_rrna.fastq.gz	0.3813	0.0771	880911359	128489.07
Columbia_MO_20240206_r2_rrna.fastq.gz	0.4681	0.067	359657206	50322.023
Columbia_MO_20240213_r1_no_rrna.fastq.gz	0.377	0.0813	1123248872	163902.125
Columbia_MO_20240213_r1_rrna.fastq.gz	0.4674	0.0636	393242440	55170.863
Columbia_MO_20240213_r2_no_rrna.fastq.gz	0.3819	0.0817	1123248872	163914.344
Columbia_MO_20240213_r2_rrna.fastq.gz	0.4684	0.065	393242440	55174.336
Columbia_MO_20240220_r1_no_rrna.fastq.gz	0.3581	0.0826	1070806615	155662.906
Columbia_MO_20240220_r1_rrna.fastq.gz	0.4572	0.0718	335304521	46332.355
Columbia_MO_20240220_r2_no_rrna.fastq.gz	0.3627	0.0827	1070806615	155692.641
Columbia_MO_20240220_r2_rrna.fastq.gz	0.4586	0.0733	335304521	46344.363
Columbia_MO_20240227_r1_no_rrna.fastq.gz	0.4807	0.0863	380769997	55199.875
Columbia_MO_20240227_r1_rrna.fastq.gz	0.5179	0.0525	823042237	117769.609
Columbia_MO_20240227_r2_no_rrna.fastq.gz	0.4827	0.0877	380769997	55209.227
Columbia_MO_20240227_r2_rrna.fastq.gz	0.5202	0.0534	823042237	117789.453
Columbia_MO_20240305_r1_no_rrna.fastq.gz	0.4985	0.091	405058954	58330.793
Columbia_MO_20240305_r1_rrna.fastq.gz	0.5226	0.053	923250718	131330.734
Columbia_MO_20240305_r2_no_rrna.fastq.gz	0.4996	0.0916	405058954	58334.008
Columbia_MO_20240305_r2_rrna.fastq.gz	0.5239	0.0533	923250718	131342.141
Columbia_MO_20240312_r1_no_rrna.fastq.gz	0.494	0.0986	331011971	47428.41
Columbia_MO_20240312_r1_rrna.fastq.gz	0.498	0.0516	1005938707	141402.938
Columbia_MO_20240312_r2_no_rrna.fastq.gz	0.496	0.0996	331011971	47434.617
Columbia_MO_20240312_r2_rrna.fastq.gz	0.5014	0.0527	1005938707	141425.703
Columbia_MO_20240319_r1_no_rrna.fastq.gz	0.5076	0.0868	222164051	32161.82
Columbia_MO_20240319_r1_rrna.fastq.gz	0.5045	0.044	1154488088	157743.125
Columbia_MO_20240319_r2_no_rrna.fastq.gz	0.5087	0.0876	222164051	32158.004
Columbia_MO_20240319_r2_rrna.fastq.gz	0.5061	0.0452	1154488088	157751.156
Columbia_MO_20240326_r1_no_rrna.fastq.gz	0.4854	0.081	507722282	71134.953
Columbia_MO_20240326_r1_rrna.fastq.gz	0.5086	0.0506	887500356	119736.953
Columbia_MO_20240326_r2_no_rrna.fastq.gz	0.4857	0.081	507722282	71129.648
Columbia_MO_20240326_r2_rrna.fastq.gz	0.5096	0.0514	887500356	119740.836
Columbia_MO_20240402_r1_no_rrna.fastq.gz	0.4801	0.0854	367758422	52412.23
Columbia_MO_20240402_r1_rrna.fastq.gz	0.5166	0.0503	966578908	133419.5
Columbia_MO_20240402_r2_no_rrna.fastq.gz	0.482	0.0857	367758422	52410.977
Columbia_MO_20240402_r2_rrna.fastq.gz	0.5185	0.0509	966578908	133424.531
Columbia_MO_20240409_r1_no_rrna.fastq.gz	0.493	0.0982	272774042	39680.301
Columbia_MO_20240409_r1_rrna.fastq.gz	0.5009	0.0464	1134464096	160201.719
Columbia_MO_20240409_r2_no_rrna.fastq.gz	0.495	0.0986	272774042	39679.152
Columbia_MO_20240409_r2_rrna.fastq.gz	0.5027	0.048	1134464096	160210.141
Columbia_MO_20240416_r1_no_rrna.fastq.gz	0.4935	0.1028	215566904	30980.889
Columbia_MO_20240416_r1_rrna.fastq.gz	0.5025	0.0466	1023107184	142488.672
Columbia_MO_20240416_r2_no_rrna.fastq.gz	0.4963	0.103	215566904	30981.896
Columbia_MO_20240416_r2_rrna.fastq.gz	0.5045	0.0482	1023107184	142501.328
Columbia_MO_20240423_r1_no_rrna.fastq.gz	0.3788	0.068	702637612	101419.773
Columbia_MO_20240423_r1_rrna.fastq.gz	0.4808	0.0568	582143489	81068.516
Columbia_MO_20240423_r2_no_rrna.fastq.gz	0.3792	0.0663	702637612	101413.266
Columbia_MO_20240423_r2_rrna.fastq.gz	0.48	0.057	582143489	81066.547
Columbia_MO_20240430_r1_no_rrna.fastq.gz	0.4033	0.0752	355571448	51133.719
Columbia_MO_20240430_r1_rrna.fastq.gz	0.4784	0.0627	701227138	98255.844
Columbia_MO_20240430_r2_no_rrna.fastq.gz	0.4023	0.0742	355571448	51130.414
