sample,NC_045512.2,other_combined
raw_Columbia_MO_20250107,440,1084945
raw_Columbia_MO_20250114,168,402914
raw_Columbia_MO_20250121,206,661458
raw_Columbia_MO_20250128,92,278109
raw_Columbia_MO_20250204,320,556887
raw_Columbia_MO_20250211,176,249815
raw_Columbia_MO_20250218,310,1250562
raw_Columbia_MO_20250225,60,268110
raw_Columbia_MO_20250304,73,320654
raw_Columbia_MO_20250311,10,63025
raw_Columbia_MO_20250318,22,137740
raw_Columbia_MO_20250326,14,115405
raw_Columbia_MO_20250401,40,157005
raw_Columbia_MO_20250408,32,157424
raw_Columbia_MO_20250415,120,966931
raw_Columbia_MO_20250422,48,1105701
raw_Columbia_MO_20250429,36,681037
raw_Columbia_MO_20250506,35,1116004
raw_Columbia_MO_20250513,187,3133309
raw_Columbia_MO_20250520,52,2590152
raw_Columbia_MO_20250527,50,2902342
raw_Columbia_MO_20250603,70,5025739
raw_Columbia_MO_20250610,152,10597110
raw_Columbia_MO_20250617,230,10605101
raw_Columbia_MO_20250624,210,22520929
