sample,SARS-CoV-2_NC_045512.2,other_combined
raw_Columbia_MO_20240102,3373,3884050
raw_Columbia_MO_20240109,3915,5258236
raw_Columbia_MO_20240116,11295,16377209
raw_Columbia_MO_20240123,7371,10203649
raw_Columbia_MO_20240130,7304,6697105
raw_Columbia_MO_20240206,3869,5532148
raw_Columbia_MO_20240213,4496,4931298
raw_Columbia_MO_20240220,4657,12337518
raw_Columbia_MO_20240227,1494,2778687
raw_Columbia_MO_20240305,1066,2190687
raw_Columbia_MO_20240312,812,1977478
raw_Columbia_MO_20240319,478,996576
raw_Columbia_MO_20240326,413,2682405
raw_Columbia_MO_20240402,386,1951197
raw_Columbia_MO_20240409,135,1722589
raw_Columbia_MO_20240416,166,2135214
raw_Columbia_MO_20240423,1184,4911646
raw_Columbia_MO_20240430,623,5151024
raw_Columbia_MO_20240507,547,4188277
raw_Columbia_MO_20240514,302,3927133
raw_Columbia_MO_20240521,785,3751255
raw_Columbia_MO_20240528,1807,6428358
raw_Columbia_MO_20240604,2894,5711976
raw_Columbia_MO_20240611,1964,12683790
raw_Columbia_MO_20240618,693,2682000
raw_Columbia_MO_20240625,1365,9168308
raw_Columbia_MO_20240702,3857,14480981
raw_Columbia_MO_20240709,836,2772503
raw_Columbia_MO_20240716,1268,3123263
raw_Columbia_MO_20240723,668,2707443
raw_Columbia_MO_20240730,1035,5738779
raw_Columbia_MO_20240806,244,1394357
raw_Columbia_MO_20240813,423,1864997
raw_Columbia_MO_20240820,444,1396841
raw_Columbia_MO_20240827,77,187949
raw_Columbia_MO_20240903,539,2492830
raw_Columbia_MO_20240910,411,4553111
raw_Columbia_MO_20240917,90,1442514
raw_Columbia_MO_20240924,167,3824292
raw_Columbia_MO_20241001,58,1427979
raw_Columbia_MO_20241008,20,444200
raw_Columbia_MO_20241015,103,3046555
raw_Columbia_MO_20241022,64,3182489
raw_Columbia_MO_20241029,62,2763883
raw_Columbia_MO_20241105,28,945954
raw_Columbia_MO_20241112,17,99810
raw_Columbia_MO_20241119,22,217880
raw_Columbia_MO_20241126,170,2040118
raw_Columbia_MO_20241203,173,702139
raw_Columbia_MO_20241210,222,1221877
raw_Columbia_MO_20241217,176,541416
raw_Columbia_MO_20241224,1174,1765455
raw_Columbia_MO_20241231,468,631912
raw_Columbia_MO_20250107,440,1084736
