SampleID,SampleDate,AveragePrecipitation,AverageTemp
Columbia_MO_20240102,1/2/2024,0,33.3
Columbia_MO_20240109,1/9/2024,0.18,25.5
Columbia_MO_20240116,1/16/2024,0.01,19.8
Columbia_MO_20240123,1/23/2024,0.12,29.5
Columbia_MO_20240130,1/30/2024,0.13,44
Columbia_MO_20240206,2/6/2024,0,41.5
Columbia_MO_20240213,2/13/2024,0,46
Columbia_MO_20240220,2/20/2024,0,49.5
Columbia_MO_20240227,2/27/2024,T,55
Columbia_MO_20240305,3/5/2024,0.01,47.5
Columbia_MO_20240312,3/12/2024,0.14,59.5
Columbia_MO_20240319,3/19/2024,0,45.5
Columbia_MO_20240326,3/26/2024,T,43
Columbia_MO_20240402,4/2/2024,0.23,50
Columbia_MO_20240409,4/9/2024,0,60
Columbia_MO_20240416,4/16/2024,0.07,74
Columbia_MO_20240423,4/23/2024,0.31,59
Columbia_MO_20240430,4/30/2024,0,68.5
Columbia_MO_20240507,5/7/2024,0.57,69
Columbia_MO_20240514,5/14/2024,0.03,66.5
Columbia_MO_20240521,5/21/2024,T,77
Columbia_MO_20240528,5/28/2024,0,70.5
Columbia_MO_20240604,6/4/2024,0.13,75
Columbia_MO_20240611,6/11/2024,0,69
Columbia_MO_20240618,6/18/2024,0,80.5
Columbia_MO_20240625,6/25/2024,0.48,83.5
Columbia_MO_20240702,7/2/2024,T,79.5
Columbia_MO_20240709,7/9/2024,0.78,69
Columbia_MO_20240716,7/16/2024,0.51,78
Columbia_MO_20240723,7/23/2024,0,76
Columbia_MO_20240730,7/30/2024,T,83.5
Columbia_MO_20240806,8/6/2024,0,76
Columbia_MO_20240813,8/13/2024,0,71.5
Columbia_MO_20240820,8/20/2024,T,70
Columbia_MO_20240827,8/27/2024,0,84.5
Columbia_MO_20240903,9/3/2024,0,67.5
Columbia_MO_20240910,9/10/2024,0,66
Columbia_MO_20240917,9/17/2024,0,76
Columbia_MO_20240924,9/24/2024,0.03,64.5
Columbia_MO_20241001,10/1/2024,0,62.5
Columbia_MO_20241008,10/8/2024,0,58.5
Columbia_MO_20241015,10/15/2024,T,48.5
Columbia_MO_20241022,10/22/2024,T,71
Columbia_MO_20241029,10/29/2024,0,75.5
Columbia_MO_20241105,11/5/2024,0.23,58
Columbia_MO_20241112,11/12/2024,0,48
Columbia_MO_20241119,11/19/2024,0,57
Columbia_MO_20241126,11/26/2024,0,33
Columbia_MO_20241203,12/3/2024,0,22.5
Columbia_MO_20241210,12/10/2024,0,33.5
Columbia_MO_20241217,12/17/2024,0,42
Columbia_MO_20241224,12/24/2024,0,38.5
Columbia_MO_20241231,12/31/2024,0.06,38.5
Columbia_MO_20250107,1/7/2025,0,11.5
Columbia_MO_20250114,1/14/2025,0,18.5
Columbia_MO_20250121,1/21/2025,0,3
Columbia_MO_20250128,1/28/2025,0,41.5
Columbia_MO_20250204,2/4/2025,0,39
Columbia_MO_20250211,2/11/2025,0,30.5
Columbia_MO_20250218,2/18/2025,0.19,6.5
Columbia_MO_20250225,2/25/2025,0,51
Columbia_MO_20250304,3/4/2025,1.02,50.5
Columbia_MO_20250311,3/11/2025,0,62
Columbia_MO_20250318,3/18/2025,0,68.5
Columbia_MO_20250326,3/25/2025,0,50.5
Columbia_MO_20250401,4/1/2025,0,50.5
Columbia_MO_20250408,4/8/2025,0,44
Columbia_MO_20250415,4/15/2025,0,53.5
Columbia_MO_20250422,4/22/2025,0,67
Columbia_MO_20250429,4/29/2025,0.35,63.5
Columbia_MO_20250506,5/6/2025,0,59
Columbia_MO_20250513,5/13/2025,0,69.5
Columbia_MO_20250520,5/20/2025,0.04,65.5
Columbia_MO_20250527,5/27/2025,0.01,63
Columbia_MO_20250603,6/3/2025,2.62,75.5
Columbia_MO_20250610,6/10/2025,0,68
Columbia_MO_20250617,6/17/2025,0,76.5
Columbia_MO_20250624,6/24/2025,0,81
