sample,SARS-CoV-2_NC_045512.2,ToBRFV_KT383474.1
Columbia_MO_20250107,626,10170846
Columbia_MO_20250114,179,2555578
Columbia_MO_20250121,227,4580914
Columbia_MO_20250128,107,1665203
Columbia_MO_20250204,347,3178930
Columbia_MO_20250211,221,1565512
Columbia_MO_20250218,344,6311381
Columbia_MO_20250225,64,1536554
Columbia_MO_20250304,127,1978519
Columbia_MO_20250311,15,443334
Columbia_MO_20250318,27,931956
Columbia_MO_20250326,77,803082
Columbia_MO_20250401,54,1204529
Columbia_MO_20250408,41,1601559
Columbia_MO_20250415,317,11838096
Columbia_MO_20250422,72,7674064
Columbia_MO_20250429,68,7839675
Columbia_MO_20250506,49,11225710
Columbia_MO_20250513,242,35448205
Columbia_MO_20250520,99,25763239
Columbia_MO_20250527,113,28500814
Columbia_MO_20250603,142,38619868
Columbia_MO_20250610,208,41142038
Columbia_MO_20250617,297,39958906
Columbia_MO_20250624,382,46745075
