sample,NC_045512.2_Severe_acute_respiratory_syndrome_coronavirus_2_isolate_Wuhan-Hu-1,PMMoV
raw_Columbia_MO_20240102,3373,1923264
raw_Columbia_MO_20240109,3915,2331631
raw_Columbia_MO_20240116,11295,7447788
raw_Columbia_MO_20240123,7371,4502498
raw_Columbia_MO_20240130,7304,3575435
raw_Columbia_MO_20240206,3869,2882438
raw_Columbia_MO_20240213,4496,2537197
raw_Columbia_MO_20240220,4657,4680576
raw_Columbia_MO_20240227,1494,1377823
raw_Columbia_MO_20240305,1066,1076214
raw_Columbia_MO_20240312,812,982302
raw_Columbia_MO_20240319,478,541189
raw_Columbia_MO_20240326,413,1350603
raw_Columbia_MO_20240402,386,841604
raw_Columbia_MO_20240409,135,764464
raw_Columbia_MO_20240416,166,973481
raw_Columbia_MO_20240423,1184,2326786
raw_Columbia_MO_20240430,623,1373104
raw_Columbia_MO_20240507,547,1224121
raw_Columbia_MO_20240514,302,1245982
raw_Columbia_MO_20240521,785,1167545
raw_Columbia_MO_20240528,1807,1678135
raw_Columbia_MO_20240604,2894,1428985
raw_Columbia_MO_20240611,1964,3117456
raw_Columbia_MO_20240618,693,617380
raw_Columbia_MO_20240625,1365,1723971
raw_Columbia_MO_20240702,3857,2927376
raw_Columbia_MO_20240709,836,310975
raw_Columbia_MO_20240716,1268,829018
raw_Columbia_MO_20240723,668,644405
raw_Columbia_MO_20240730,1035,1144392
raw_Columbia_MO_20240806,244,191063
raw_Columbia_MO_20240813,423,286670
raw_Columbia_MO_20240820,444,234734
raw_Columbia_MO_20240827,77,34401
raw_Columbia_MO_20240903,539,319162
raw_Columbia_MO_20240910,411,320383
raw_Columbia_MO_20240917,90,124146
raw_Columbia_MO_20240924,167,295901
raw_Columbia_MO_20241001,58,169110
raw_Columbia_MO_20241008,20,44838
raw_Columbia_MO_20241015,103,482339
raw_Columbia_MO_20241022,64,513589
raw_Columbia_MO_20241029,62,630187
raw_Columbia_MO_20241105,28,167284
raw_Columbia_MO_20241112,17,29916
raw_Columbia_MO_20241119,22,51234
raw_Columbia_MO_20241126,170,522040
raw_Columbia_MO_20241203,173,200582
raw_Columbia_MO_20241210,222,348285
raw_Columbia_MO_20241217,176,196035
raw_Columbia_MO_20241224,1174,706699
raw_Columbia_MO_20241231,468,241505
raw_Columbia_MO_20250107,440,432210
raw_Columbia_MO_20250114,168,175650
raw_Columbia_MO_20250121,206,274541
raw_Columbia_MO_20250128,92,114003
raw_Columbia_MO_20250204,320,240776
raw_Columbia_MO_20250211,176,117523
raw_Columbia_MO_20250218,310,646349
raw_Columbia_MO_20250225,60,130528
raw_Columbia_MO_20250304,73,142000
raw_Columbia_MO_20250311,10,30286
raw_Columbia_MO_20250318,22,79143
raw_Columbia_MO_20250326,14,54933
raw_Columbia_MO_20250401,40,79197
raw_Columbia_MO_20250408,32,71864
raw_Columbia_MO_20250415,120,467092
raw_Columbia_MO_20250422,48,291326
raw_Columbia_MO_20250429,36,290489
raw_Columbia_MO_20250506,35,315685
raw_Columbia_MO_20250513,187,973932
raw_Columbia_MO_20250520,52,836120
raw_Columbia_MO_20250527,50,1056573
raw_Columbia_MO_20250603,70,1378381
raw_Columbia_MO_20250610,152,1163222
raw_Columbia_MO_20250617,230,1329275
raw_Columbia_MO_20250624,210,1406943
